K155LA3,Up,Down
3.91984,0.0537634,0.0537634
3.92473,0.0537634,0.0488759
3.92962,0.0537634,0.0488759
3.93451,0.0537634,0.0488759
3.93939,0.0537634,0.0488759
3.94428,0.0537634,0.0488759
3.94917,0.0537634,0.0488759
3.95406,0.0488759,0.0488759
3.95894,0.0537634,0.0488759
3.96383,0.0537634,0.0488759
3.96872,0.0537634,0.0488759
3.97361,0.0488759,0.0488759
3.97849,0.0537634,0.0488759
3.98338,0.0537634,0.0488759
3.98827,0.0537634,0.0488759
3.99316,0.0488759,0.0537634
3.99804,0.0537634,0.0488759
4.00293,0.0537634,0.0488759
4.00782,0.0488759,0.0488759
4.01271,0.0537634,0.0488759
4.0176,0.0537634,0.0488759
4.02248,0.0488759,0.0537634
4.02737,0.0537634,0.0488759
4.03226,0.0537634,0.0488759
4.03715,0.0537634,0.0488759
4.04203,0.0488759,0.0537634
4.04692,0.0488759,0.0488759
4.05181,0.0537634,0.0488759
4.0567,0.0537634,0.0488759
4.06158,0.0537634,0.0537634
4.06647,0.0537634,0.0537634
4.07136,0.0537634,0.0488759
4.07625,0.0537634,0.0488759
4.08113,0.0488759,0.0488759
4.08602,0.0488759,0.0488759
4.09091,0.0537634,0.0488759
4.0958,0.0537634,0.0488759
4.10068,0.0488759,0.0488759
4.10557,0.0537634,0.0488759
4.11046,0.0537634,0.0537634
4.11535,0.0537634,0.0537634
4.12023,0.0488759,0.0488759
4.12512,0.0537634,0.0488759
4.13001,0.0537634,0.0488759
4.1349,0.0537634,0.0488759
4.13978,0.0537634,0.0488759
4.14467,0.0488759,0.0537634
4.14956,0.0537634,0.0488759
4.15445,0.0537634,0.0537634
4.15934,0.0537634,0.0488759
